Source,Target
593,180463
43309,130176
822,43309
106398,280278
277650,280278
239,1113
239,162581
115,164032
578,43309
273533,280278
161695,280278
278758,280278
159797,280278
593,36030
239,60736
239,1648
165047,319349
1113,319349
60736,319349
43309,162581
43309,97974
972,43309
162455,165993
1449,162455
162455,271105
100583,274888
100583,159797
593,213660
593,317809
593,213661
60098,60736
1707,60098
1648,60098
22051,100583
100583,144477
162455,960514
162455,270231
161681,162455
159797,164032
160688,164032
100583,164032
100583,160688
115,100583
205058,319349
21185,319349
593,162581
593,159562
272505,274079
160602,274079
1894,274079
163189,322486
273596,322486
160226,322486
822,322486
164032,278277
115,278277
159797,278277
60098,1199622
22964,60098
27294,60098
239,1892
239,1894
322486,331117
162535,322486
593,160153
593,30191
101301,162455
84529,162455
593,34333
593,20808
319349,725071
43309,321260
43309,275309
43309,146562
169469,274079
1892,274079
59666,274079
164032,277803
164032,164644
43309,145479
100583,272505
1894,100583
43299,278277
160688,278277
822,278277
